replacement_id,incident_id,part_id,service_date,replacement_cost,labor_cost,transportation_cost,warranty_status,resolution_date,service_center,part_arrival_date
1,9,6,2023-01-02,2378.89,1336.91,494.96,In Warranty,2023-01-06,Service Center 4,2023-01-02
2,11,4,2023-01-04,2741.66,3391.56,60.83,In Warranty,2023-01-08,Service Center 8,2023-01-04
3,12,5,2023-01-05,3114.48,2169.74,523.54,In Warranty,2023-01-17,Service Center 1,2023-01-16
4,5,7,2023-01-05,929.27,1435.03,37.17,In Warranty,2023-01-07,Service Center 3,2023-01-05
5,4,2,2023-01-05,710.54,2963.59,590.36,In Warranty,2023-01-12,Service Center 5,2023-01-05
6,17,5,2023-01-06,3053.92,1669.56,216.48,In Warranty,2023-01-07,Service Center 2,2023-01-06
7,16,15,2023-01-06,14980.04,1789.73,326.91,In Warranty,2023-01-10,Service Center 1,2023-01-08
8,20,16,2023-01-08,2049.39,1176.35,246.91,In Warranty,2023-01-14,Service Center 1,2023-01-11
9,23,16,2023-01-10,2012.24,1050.93,80.1,In Warranty,2023-01-14,Service Center 7,2023-01-10
10,30,11,2023-01-11,2345.24,1810.89,175.77,In Warranty,2023-01-16,Service Center 4,2023-01-14
11,18,10,2023-01-11,3551.97,1113.09,688.52,In Warranty,2023-01-21,Service Center 7,2023-01-18
12,25,21,2023-01-11,4167.96,1511.76,1135.83,In Warranty,2023-01-22,Service Center 6,2023-01-17
13,22,2,2023-01-12,620.13,3801.15,463.13,In Warranty,2023-01-18,Service Center 7,2023-01-12
14,29,24,2023-01-12,1157.72,1782.36,181.02,In Warranty,2023-01-17,Service Center 3,2023-01-15
15,21,13,2023-01-12,469.74,2220.88,1800.71,In Warranty,2023-01-23,Service Center 4,2023-01-21
16,37,4,2023-01-13,3065.9,3252.83,260.59,In Warranty,2023-01-18,Service Center 2,2023-01-16
17,32,7,2023-01-13,893.39,908.22,175.45,In Warranty,2023-01-18,Service Center 2,2023-01-15
18,33,24,2023-01-13,1060.88,1350.29,50.49,In Warranty,2023-01-14,Service Center 3,2023-01-13
19,38,21,2023-01-14,3973.3,1335.39,1730.51,In Warranty,2023-01-26,Service Center 2,2023-01-24
20,35,18,2023-01-14,10215.17,1303.0,691.48,In Warranty,2023-01-22,Service Center 2,2023-01-20
21,31,13,2023-01-14,451.44,2835.31,1769.65,In Warranty,2023-01-18,Service Center 6,2023-01-15
22,36,7,2023-01-15,967.84,990.49,138.79,In Warranty,2023-01-21,Service Center 4,2023-01-18
23,52,11,2023-01-16,2347.7,2819.2,167.27,In Warranty,2023-01-22,Service Center 4,2023-01-18
24,24,12,2023-01-16,4476.77,2704.16,1048.48,In Warranty,2023-01-26,Service Center 5,2023-01-22
25,42,30,2023-01-16,900.51,1254.86,644.01,In Warranty,2023-01-22,Service Center 5,2023-01-17
26,41,9,2023-01-17,1584.86,1185.63,1471.11,In Warranty,2023-02-04,Service Center 4,2023-01-25
27,39,15,2023-01-17,14446.34,1300.13,67.43,Out of Warranty,2023-01-20,Service Center 6,2023-01-17
28,46,20,2023-01-19,5268.22,2299.33,1588.16,In Warranty,2023-02-07,Service Center 1,2023-01-30
29,58,16,2023-01-19,1890.28,1932.97,259.19,In Warranty,2023-01-24,Service Center 3,2023-01-21
30,59,18,2023-01-19,9187.08,1444.0,559.2,In Warranty,2023-02-10,Service Center 4,2023-02-06
31,48,6,2023-01-19,2297.42,2394.15,1522.51,In Warranty,2023-02-02,Service Center 3,2023-01-30
32,57,16,2023-01-19,1836.53,1294.89,64.27,In Warranty,2023-01-26,Service Center 3,2023-01-19
33,46,19,2023-01-19,22410.06,813.81,1237.47,In Warranty,2023-02-07,Service Center 1,2023-01-30
