incident_id,vehicle_id,part_id,incident_date,defect_type,defect_source,severity,customer_complaint,status
1,475,15,2023-01-01,Software Error,Supplier Defect,Low,False,Closed
2,246,20,2023-01-01,Electrical Failure,Supplier Defect,High,False,Closed
3,394,5,2023-01-01,Performance Issue,Supplier Defect,Medium,True,Closed
4,101,16,2023-01-01,Software Error,Manufacturing Error,Medium,False,Closed
5,271,20,2023-01-02,Electrical Failure,Supplier Defect,Medium,False,Closed
6,31,25,2023-01-02,Leakage,Design Issue,Medium,True,Closed
7,445,21,2023-01-02,Electrical Failure,Supplier Defect,Medium,True,Closed
8,31,27,2023-01-02,Performance Issue,Manufacturing Error,High,False,Closed
9,379,13,2023-01-02,Leakage,Material Failure,High,True,Closed
10,341,22,2023-01-02,Noise,Manufacturing Error,Low,False,Closed
11,264,23,2023-01-03,Noise,Design Issue,Medium,True,Closed
12,474,1,2023-01-04,Leakage,Manufacturing Error,High,False,Closed
13,163,22,2023-01-04,Breakage,Manufacturing Error,Low,True,Closed
14,508,22,2023-01-04,Noise,Manufacturing Error,Low,False,Closed
15,174,9,2023-01-05,Noise,Material Failure,Low,False,Closed
16,463,8,2023-01-05,Noise,Design Issue,Low,True,Closed
17,221,15,2023-01-05,Electrical Failure,Unknown,Low,False,Closed
18,144,6,2023-01-05,Leakage,Material Failure,Medium,True,Closed
19,194,11,2023-01-07,Leakage,Supplier Defect,High,False,Closed
20,433,21,2023-01-07,Electrical Failure,Material Failure,Medium,True,Closed
21,81,9,2023-01-08,Noise,Material Failure,Low,True,Closed
22,332,22,2023-01-08,Breakage,Material Failure,High,True,Closed
23,57,2,2023-01-09,Breakage,Design Issue,Medium,False,Closed
24,122,1,2023-01-09,Overheating,Material Failure,Medium,False,Closed
25,47,5,2023-01-09,Noise,Supplier Defect,Medium,False,Closed
26,442,27,2023-01-09,Leakage,Manufacturing Error,Medium,True,Closed
27,110,15,2023-01-10,Electrical Failure,Supplier Defect,Medium,False,Closed
28,187,28,2023-01-10,Performance Issue,Supplier Defect,Medium,False,Closed
29,280,9,2023-01-10,Performance Issue,Manufacturing Error,Medium,False,Closed
30,85,24,2023-01-10,Breakage,Material Failure,High,False,Closed
31,210,16,2023-01-10,Electrical Failure,Manufacturing Error,Critical,True,Closed
32,90,23,2023-01-11,Noise,Material Failure,Low,False,Closed
33,262,22,2023-01-11,Noise,Material Failure,Low,False,Closed
34,502,11,2023-01-11,Incorrect Installation,Assembly Error,Medium,True,Under Investigation
35,413,12,2023-01-11,Overheating,Supplier Defect,Medium,True,Closed
36,99,22,2023-01-12,Noise,Supplier Defect,Medium,True,Closed
37,75,18,2023-01-12,Software Error,Supplier Defect,Low,False,Closed
38,162,22,2023-01-12,Breakage,Design Issue,High,False,Closed
39,198,21,2023-01-12,Overheating,Customer Misuse,High,True,Closed
40,14,14,2023-01-13,Overheating,Assembly Error,High,False,Closed
41,313,25,2023-01-13,Leakage,Supplier Defect,Critical,True,Closed
42,96,17,2023-01-14,Performance Issue,Manufacturing Error,Low,False,Closed
43,77,22,2023-01-14,Noise,Manufacturing Error,Low,False,Closed
44,303,21,2023-01-15,Electrical Failure,Customer Misuse,Medium,False,Closed
45,230,11,2023-01-15,Leakage,Customer Misuse,High,True,Closed
46,361,19,2023-01-16,Overheating,Design Issue,Critical,True,Closed
47,2,26,2023-01-16,Performance Issue,Customer Misuse,Medium,False,Closed
48,349,13,2023-01-16,Noise,Supplier Defect,Medium,False,Closed
49,63,10,2023-01-16,Performance Issue,Supplier Defect,Low,False,Closed
50,328,7,2023-01-16,Performance Issue,Manufacturing Error,Low,False,Closed
51,45,7,2023-01-16,Leakage,Supplier Defect,High,True,Closed
52,362,9,2023-01-16,Performance Issue,Design Issue,Medium,True,Closed
53,138,29,2023-01-16,Noise,Supplier Defect,Low,False,Closed
54,315,26,2023-01-17,Leakage,Supplier Defect,Low,False,Closed
55,127,7,2023-01-17,Performance Issue,Design Issue,Medium,True,Closed
56,211,24,2023-01-17,Leakage,Design Issue,High,True,Closed
57,213,10,2023-01-17,Performance Issue,Assembly Error,Medium,False,Closed
58,169,28,2023-01-17,Performance Issue,Supplier Defect,Low,True,Closed
59,9,13,2023-01-18,Leakage,Supplier Defect,Medium,False,Closed
60,456,24,2023-01-18,Noise,Material Failure,Low,False,Closed
61,229,24,2023-01-18,Noise,Supplier Defect,Low,False,Closed
62,324,29,2023-01-19,Breakage,Supplier Defect,Medium,True,Closed
63,484,24,2023-01-19,Leakage,Manufacturing Error,Medium,False,Closed
64,481,13,2023-01-19,Overheating,Unknown,Medium,False,Closed
65,190,22,2023-01-19,Breakage,Supplier Defect,Critical,True,Closed
66,33,13,2023-01-20,Overheating,Supplier Defect,Medium,True,Closed
67,119,7,2023-01-20,Breakage,Assembly Error,Low,False,Closed
68,425,16,2023-01-20,Electrical Failure,Supplier Defect,Critical,True,Closed
69,275,12,2023-01-20,Breakage,Manufacturing Error,Medium,False,Closed
70,261,15,2023-01-20,Software Error,Material Failure,Low,False,Closed
71,314,5,2023-01-20,Leakage,Design Issue,High,False,Closed
72,158,11,2023-01-21,Leakage,Material Failure,High,False,Closed
73,310,7,2023-01-21,Leakage,Manufacturing Error,Low,False,Closed
74,318,14,2023-01-21,Leakage,Manufacturing Error,Medium,True,Closed
75,448,24,2023-01-21,Noise,Supplier Defect,Medium,True,Closed
76,448,18,2023-01-22,Software Error,Material Failure,Medium,True,Closed
77,366,20,2023-01-23,Performance Issue,Supplier Defect,Medium,False,Closed
78,483,9,2023-01-23,Performance Issue,Material Failure,Critical,True,Closed
79,310,19,2023-01-23,Electrical Failure,Customer Misuse,Low,False,Closed
80,153,5,2023-01-24,Performance Issue,Supplier Defect,Medium,False,Closed
81,346,9,2023-01-24,Noise,Design Issue,Low,False,Closed
82,217,28,2023-01-24,Incorrect Installation,Assembly Error,Medium,True,Closed
83,177,14,2023-01-24,Leakage,Customer Misuse,Medium,True,Closed
84,510,13,2023-01-25,Breakage,Supplier Defect,Medium,True,Closed
85,85,10,2023-01-25,Noise,Material Failure,Low,False,Closed
86,166,10,2023-01-25,Performance Issue,Supplier Defect,Medium,True,Closed
87,320,12,2023-01-25,Breakage,Supplier Defect,Low,False,Closed
88,302,4,2023-01-25,Noise,Supplier Defect,Medium,True,Closed
89,292,19,2023-01-25,Incorrect Installation,Assembly Error,High,True,Closed
90,257,23,2023-01-27,Noise,Material Failure,Medium,True,Closed
91,232,7,2023-01-27,Breakage,Manufacturing Error,Medium,False,Closed
92,80,10,2023-01-27,Noise,Manufacturing Error,Medium,False,Closed
93,157,4,2023-01-27,Breakage,Customer Misuse,Medium,True,Closed
94,166,14,2023-01-28,Leakage,Supplier Defect,High,True,Closed
95,336,13,2023-01-28,Overheating,Customer Misuse,High,True,Closed
96,264,12,2023-01-29,Leakage,Manufacturing Error,Medium,False,Closed
97,256,18,2023-01-29,Electrical Failure,Supplier Defect,Critical,True,Closed
98,97,7,2023-01-29,Breakage,Manufacturing Error,Medium,True,Closed
99,105,14,2023-01-30,Incorrect Installation,Assembly Error,Medium,True,Closed
100,279,4,2023-01-30,Performance Issue,Manufacturing Error,Low,False,Closed
101,49,11,2023-01-31,Overheating,Supplier Defect,Medium,False,Closed
102,385,22,2023-01-31,Performance Issue,Supplier Defect,Low,False,Closed
103,438,7,2023-01-31,Performance Issue,Supplier Defect,Medium,False,Closed
104,73,27,2023-02-01,Leakage,Material Failure,Low,False,Closed
105,416,7,2023-02-02,Leakage,Unknown,Low,True,Closed
106,48,10,2023-02-02,Noise,Manufacturing Error,Low,False,Closed
107,161,24,2023-02-02,Performance Issue,Manufacturing Error,Critical,True,Closed
108,231,13,2023-02-02,Overheating,Supplier Defect,Medium,False,Closed
109,359,16,2023-02-03,Electrical Failure,Assembly Error,High,True,Closed
110,237,27,2023-02-03,Electrical Failure,Manufacturing Error,Low,True,Closed
111,335,5,2023-02-04,Performance Issue,Supplier Defect,Medium,False,Closed
112,316,7,2023-02-04,Performance Issue,Supplier Defect,Low,False,Closed
113,46,24,2023-02-04,Leakage,Customer Misuse,High,True,Closed
114,74,30,2023-02-04,Incorrect Installation,Assembly Error,High,False,Closed
115,128,18,2023-02-05,Electrical Failure,Supplier Defect,Low,True,Closed
116,335,26,2023-02-05,Noise,Supplier Defect,Low,False,Closed
117,386,18,2023-02-05,Incorrect Installation,Assembly Error,Low,False,Closed
118,110,8,2023-02-05,Breakage,Unknown,Critical,True,Closed
119,432,6,2023-02-06,Noise,Assembly Error,Medium,False,Closed
120,502,21,2023-02-06,Overheating,Supplier Defect,Critical,True,Closed
121,415,19,2023-02-06,Electrical Failure,Manufacturing Error,High,False,Closed
122,227,24,2023-02-06,Noise,Unknown,Medium,False,Closed
123,185,25,2023-02-06,Breakage,Design Issue,Medium,False,Closed
124,444,19,2023-02-07,Electrical Failure,Assembly Error,Medium,False,Closed
125,316,26,2023-02-07,Performance Issue,Manufacturing Error,Medium,False,Closed
126,221,12,2023-02-07,Leakage,Material Failure,Low,False,Closed
127,5,26,2023-02-08,Breakage,Supplier Defect,Medium,True,Closed
128,408,12,2023-02-08,Leakage,Design Issue,Low,False,Closed
129,433,8,2023-02-08,Noise,Manufacturing Error,High,False,Closed
130,285,14,2023-02-08,Overheating,Material Failure,Low,False,Closed
131,438,18,2023-02-08,Electrical Failure,Supplier Defect,Medium,False,Closed
132,500,8,2023-02-08,Noise,Manufacturing Error,Low,False,Closed
133,88,17,2023-02-08,Software Error,Manufacturing Error,Low,False,Closed
134,120,21,2023-02-08,Electrical Failure,Supplier Defect,High,True,Closed
135,467,16,2023-02-08,Software Error,Manufacturing Error,High,True,Closed
136,297,23,2023-02-09,Performance Issue,Assembly Error,High,True,Closed
137,276,26,2023-02-09,Breakage,Customer Misuse,High,True,Closed
138,285,9,2023-02-09,Noise,Material Failure,Low,False,Closed
139,453,13,2023-02-10,Overheating,Material Failure,Critical,True,Closed
140,147,28,2023-02-10,Noise,Design Issue,Medium,False,Closed
141,507,16,2023-02-10,Performance Issue,Supplier Defect,Medium,False,Closed
142,408,24,2023-02-10,Noise,Supplier Defect,Low,False,Closed
143,205,15,2023-02-11,Performance Issue,Supplier Defect,Low,True,Closed
144,10,7,2023-02-11,Noise,Supplier Defect,Low,False,Closed
145,51,12,2023-02-12,Leakage,Unknown,Medium,False,Closed
