vehicle_id,model,production_year,production_line,factory,fuel_type
1,City Hatchback,2021,F1-L2,Factory 1,Petrol
2,Compact SUV,2021,F3-L1,Factory 3,Diesel
3,Compact SUV,2021,F3-L1,Factory 3,Hybrid
4,City Hatchback,2021,F1-L1,Factory 1,Petrol
5,Pickup Truck,2021,F3-L2,Factory 3,Petrol
6,Compact SUV,2021,F2-L2,Factory 2,Diesel
7,Family SUV,2021,F3-L1,Factory 3,Hybrid
8,Compact SUV,2021,F3-L1,Factory 3,Petrol
9,Compact SUV,2021,F2-L2,Factory 2,Hybrid
10,Compact Sedan,2021,F2-L1,Factory 2,Diesel
11,Compact SUV,2021,F2-L2,Factory 2,Petrol
12,Compact Sedan,2021,F2-L2,Factory 2,Petrol
13,City Hatchback,2021,F1-L2,Factory 1,Petrol
14,Pickup Truck,2021,F3-L2,Factory 3,Diesel
15,Compact Sedan,2021,F2-L1,Factory 2,Petrol
16,Compact SUV,2021,F2-L2,Factory 2,Petrol
17,Compact Sedan,2021,F2-L1,Factory 2,Diesel
18,Compact Sedan,2021,F2-L2,Factory 2,Diesel
19,Pickup Truck,2021,F3-L2,Factory 3,Diesel
20,City Hatchback,2021,F1-L1,Factory 1,Petrol
21,Compact SUV,2021,F2-L2,Factory 2,Diesel
22,Compact SUV,2021,F2-L2,Factory 2,Petrol
23,Compact Sedan,2021,F2-L1,Factory 2,Petrol
24,City Hatchback,2021,F1-L2,Factory 1,Petrol
25,Compact SUV,2021,F2-L2,Factory 2,Diesel
26,Compact Sedan,2021,F2-L1,Factory 2,Hybrid
27,City Hatchback,2021,F1-L2,Factory 1,Petrol
28,City Hatchback,2021,F1-L2,Factory 1,Petrol
29,Compact Sedan,2021,F2-L2,Factory 2,Hybrid
30,Compact Sedan,2021,F2-L2,Factory 2,Diesel
31,City Hatchback,2021,F1-L2,Factory 1,Diesel
32,Compact Sedan,2021,F2-L1,Factory 2,Petrol
33,City Hatchback,2021,F1-L1,Factory 1,Hybrid
34,City Hatchback,2021,F1-L1,Factory 1,Diesel
35,Compact SUV,2021,F2-L2,Factory 2,Petrol
36,Pickup Truck,2021,F3-L2,Factory 3,Diesel
37,Family SUV,2021,F3-L1,Factory 3,Diesel
38,Family SUV,2021,F3-L2,Factory 3,Diesel
39,Family SUV,2021,F3-L2,Factory 3,Diesel
40,Compact Sedan,2021,F2-L2,Factory 2,Petrol
41,Pickup Truck,2021,F3-L2,Factory 3,Diesel
42,Compact Sedan,2021,F2-L1,Factory 2,Diesel
43,City Hatchback,2021,F1-L2,Factory 1,Petrol
44,City Hatchback,2021,F1-L1,Factory 1,Petrol
45,Family SUV,2021,F3-L1,Factory 3,Diesel
46,Compact SUV,2021,F3-L1,Factory 3,Petrol
